NO,XX,腔調,客語
33832,,大埔,《大藏經》係佛教盡／最重要个經書，值得研究。
28083,,大埔,「人勤地獻寶，人懶地獻草。」係講麼个？肯做有收成，懶做無收成。
28267,,大埔,「人勤地獻寶，人懶地獻草。」係講麼个？肯做有收成，懶做無收成。
28175,,大埔,「人勤地獻寶，人懶地獻草。」係講麼个？肯做有收成，懶做無收成。阿錦伯愐著前一駁，三元宮七月十二日普渡㓾大豬該日，雖然無輪值著，該暗晡還係請著三張桌个人客。當然，主要係愛請這兜妹同倈。大妹、二妹、三妹、滿妹這兜，每家大大細細做下都帶轉來，單淨這個吊尾槌，阿明牯兩公姐，連魂影都無看著。
34062,,大埔,「三日毋食也係臭餿飯」，事情毋做，較久乜係若个。
36045,,大埔,「六月天公家神牌會停動」係講麼个？六月緊工時節，耕種人歸屋家大人細子都當無閒。
29653,,大埔,「布～～」係麼个聲？打屁聲。
29741,,大埔,「布～～」係麼个聲？打屁聲。
29830,,大埔,「布～～」係麼个聲？打屁聲。
26625,,大埔,「坐橫桌」係做麼个頭路？食月給。
26533,,大埔,「身體還堪得去」，斯係講身體仰脣？還已健。
29740,118.0,大埔,「屋下个田地闊到連死鳥都飛得過」係講厥土地仰脣？無田無地。一個有錢个員外討心臼，鬧熱煎煎，鑼鼓喧天，紙炮響無停，花轎來到大門口，媒人打開轎門，分新娘下轎。新娘一踏啊入廳下，愛敬阿公婆个時節，毋堵好嗄「布～～」一聲，家官聽著，面冷雪雪講：「布～？還綢咧！」，聰明个小娘姑跈等接嘴講：「阿爸，係𠊎啦！」阿爸面色正轉過來，新娘斯對小娘姑講：「阿姑好，阿姑乖，阿姑承屁得金釵！」斯送佢一枝金釵。
28013,,大埔,「食飯時節像駱駝，做事時節像蝻蛇」，這種腳肖你煞敢用？
28105,,大埔,「食飯時節像駱駝，做事時節像蝻蛇」，這種腳肖你煞敢用？
28197,,大埔,「食飯時節像駱駝，做事時節像蝻蛇」，這種腳肖你煞敢用？
26442,,大埔,「食睡都毋得」係麼个意思？食毋落飯，睡毋落覺。
26626,,大埔,「做到兩頭烏」係講麼个？打早天吂光斯出門做事，到斷烏正轉屋。
26350,,大埔,「飯匙堵貓」，一般用在仰脣个情況之下？堵塞人个話。
26537,,大埔,「像貌事量約量約」係麼个意思？做事已潦草。
33114,,大埔,「龍抬頭」係麼个意思？比論好人出頭。
8398,,大埔,921地動當搖。
8802,,大埔,一下無看真，認毋著人，當敗勢。
10156,,大埔,一下講愛改這，一下講愛修該，極多漦濞！
8084,,大埔,一下變天，佢寒到緊顫。
8085,,大埔,一下變天，佢寒都緊顫。
26332,,大埔,一千銀个東西，撿八百現金斯使得。
9471,,大埔,一千擔獎狀，無哪好放。
9265,,大埔,一弓弓蕉有五六比。
11284,,大埔,一日三餐兩點心，毋肥正怪！
25207,,大埔,一半下你會聽著人講，某某麼人還樂線喔，這意思斯係講該個人當樂暢，麼个事情都毋會煩愁著佢，日過著當快樂，佢係一個天落來，有長人撐緊，無愁無慮个人。另外一層意思係講，該個人無責神，麼个事情斯無相無干，係一個無責任感个人，斯像講，渡細人，放佢在屋家睡目，佢做佢去市場買菜，人斯會講佢忒樂線，無斯忒放勢。
10537,,大埔,一半下讓佢無要緊，同佢打逆面無較贏。
11733,,大埔,一半斯好，莫倒恁淰。
10535,,大埔,一半擺無相干，若係長在恁泥，該斯使毋得哦！
9049,,大埔,一生人都恁衰過。
8403,,大埔,一年有四季。
11901,,大埔,一年有四個季節。
8457,,大埔,一年買一到生活用品。
10683,,大埔,一百斤穀个價數係無千一銀，耕種斯打毋過咧。
9296,,大埔,一百除十。
10677,,大埔,一百燭个電火吊兩支落去，斯已光咧。
36834,,大埔,一到熱天，莊下个男人無著衫，單淨著游泳褲。
10397,,大埔,一個人愛多看、多聽、多做，正毋會像井肚个蛤蟆。
8094,,大埔,一個人戴莊下，生活當自在。
8609,,大埔,一個人戴當孤栖。
